TRULY Unique ID,EASYPROD - UniquID,EASYPROD - Appt ID,NEW OCCUPANCY UNIT,NEW OCCUPANCY ADRESSS,ASSAF UNIT,Assaf Address,ZEHAVIT yechida,zehavit address,zehavit alternative address,RICKI APT ,ricki insurance,CONTROLSHEET
079,3213,U210,210,חנה סנש 4/13,210+211,חנה סנש 4/13,210,חנה סנש 43589,בחברת הגז 4/6,210,חנה סנש 4/13,210
07A,3214,U211,211,חנה סנש 4/14,,,211,חנה סנש 43589,בחברת הגז 4/6,211,חנה סנש 4/14,211
07B,3215,U411,212,רזיאל 1/8,212,רזיאל 1/8,212,חנה סנש  18/8 א',רזיאל 1/8 באמישרגז,212,רזיאל 1/8,212
07C,2008,U212,213,רוטנברג 12/20,213,רוטנברג 12/20,213,רוטנברג 12/20,רוטנברג 12/6,213,רוטנברג 12/20,213
07D,0920,U213,214A,השלום 131/1,214A,"השלום 131/1
",214A,השלום  131/2,"ברשויות
השלום 131/1 א'",214 א',השלום 131/1,214
07E,2702,U214,214B,השלום 131/1,214B,"השלום 131/1
",214B,השלום  131/2,"ברשויות
השלום 131/1 א'",214 ב',השלום 131/1,
07F,,,214C,השלום 131/1,214C,"השלום 131/1
",214C,השלום  131/2,,, ,
080,,,215,חנה סנש 12/04,215,חנה סנש 12/4,215,חנה סנש 43202,חנה סנש 12/42,215,חנה סנש 12/04,215
081,3242,U215,216,רוטנברג 16/01,216,רוטנברג 16/43,216,רוטנברג 43116,רוטנברג 16/43 ד',216,רוטנברג 16/01,216
082,0443,U216,217,חנה סנש 06/01,217,חנה סנש 6/2,217,חנה סנש 43106,חנה סנש 17\6,217,חנה סנש 06/01,217
083,3217,U217,218,גוש עציון 97/08,218,גוש עציון 97/8,218,גוש עציון  97/8,X,218,גוש עציון 97/08,218
084,1909,U218,219A,וינגייט 02/06,219 A,וינגיט 2/6,219A,וינגייט 2/6 ב',"השלום 125 
בחשמל",219 א',וינגייט 02/06,219
085,3013,U219,219B,וינגייט 02/06,219 B,וינגיט 2/6,219B,וינגייט 2/6 ב',X,219 ב',וינגייט 02/06,
086,,,220,חנה סנש 14/06,220,חנה סנש 14/4,220,חנה סנש  43630,,220,חנה סנש 14/06,220
087,2606,U220,221,גוש עציון 91/06,221,גוש עציון 91/6,221,גוש עציון  91/6,גוש עציון 91/48,221,גוש עציון 91/06,221
088,1849,U221,222,רוטנברג 22/13,222,רוטנברג 22/13,222,רוטנברג 22/13,X,222,רוטנברג 22/13,222
089,0413,U222,223,בן גוריון 20/02,223,בן גוריון 20/2,223,בן גוריון 43151,,223,בן גוריון 20/02,223
08A,1330,U223,224,רוטנברג 06/28,224,רוטנברג 6/8,224,רוטנברג 6/28 ה',,224,רוטנברג 06/28,224
08B,1428,U224,225,חנה סנש 18/04 ז,225,חנה סנש 18/4,225,חנה סנש 18/4 ז',חנה סנש 18/50,225,חנה סנש 18/04 ז,225
08C,2050,U225,226,השלום 129/03,226,השלום 129/3,226,השלום 129/3 ב',,226,השלום 129/03,226
08D,2809,U226,227,חנה סנש 02/03,227,חנה סנש 2/3,227,חנה סנש  43161,X,227,חנה סנש 02/03,227
08E,3203,U227,228,וינגייט  04/06,228,וינגיט 4/6,228,וינגייט  43255,השלום 125/5,228,וינגייט  04/06,228
08F,3005,U228,229,השלום 131/2,229,"השלום 131/2
",229,השלום  131/2 א',,229,השלום 131/2,229
090,2701,U229,230,חנה סנש 02/06,230,חנה סנש 2/6,230,"חנה סנש 
 43253",,230,חנה סנש 02/06,230
091,3206,U230,231A,נילי 07/23,231A,"נילי 7/23
",231A,נילי  7/23 ב',,231,נילי 07/23,231
092,1723,U231,231B,נילי 07/23,231B,"נילי 7/23
",231B,נילי  7/23 ב',,, ,
093,,,232A,השלום 133/20,232A,השלום 133/20,232A,השלום 133/20,,232,השלום 133/20,232
094,2120,U232,232B,השלום 133/20,232B,השלום 133/21,232B,השלום 133/20,,, ,
095,,,233,חנה סנש 18/60,233,חנה סנש 18/60,233,חנה סנש  43634,רזיאל 15/60,233,חנה סנש 18/60,233
096,2060,U233,234,רוטנברג 06/33,234,רוטנברג 6/33,234,רוטנברג 6/33 ו',,234,רוטנברג 06/33,234
097,1433,U234,235,רוטנברג 06/10,235,רוטנברג 6/10,235,רוטנברג  43744,,235,רוטנברג 06/10,235
098,1410,U235,236,נילי 05/05,236,נילי 5/5,236,נילי  5/5 א',,236,נילי 05/05,236
099,1706,U236,237,נילי 05/06,237,נילי 5/6,237,נילי  43621,,237,נילי 05/06,237
09A,1707,U237,238,גוש עציון 97/12,238,גוש עציון 97/12,238,גוש עציון 97/12,,238,גוש עציון 97/12,238
09B,1913,U238,239,רוטנברג 20/02,239,רוטנברג 20/2,239,רוטנברג 43516,רוטנברג 20/16,239,רוטנברג 20/02,239
09C,0416,U239,240,גוש עציון 81/06,240,גוש עציון 81/6,240,גוש עציון 81/6,גוש עציון 81/18,240,גוש עציון 81/06,240
09D,1819,U240,241,נילי  05/13,241,נילי 5/13,241,"נילי 
 5/13",,241,נילי  05/13,241
09E,1714,U241,242,רוטנברג 06/34,242,רוטנברג 6/34,242,רוטנברג 6/34,X,242,רוטנברג 06/34,242
09F,1434,U242,243,השלום 129/12,243,השלום 129/12,243,השלום 129/6,"השלום 129/5 ב'
 בארנונה",243,השלום 129/12,243
0A0,2812,U243,,,,,244, ,,, ,
0A1,,,245,השלום 133/19,245,השלום 133/19,245,השלום  133/19,,245,השלום 133/19,245
0A2,2119,U245,246,גוש עציון 77/06,246,גוש עציון 77/6,246,גוש עציון 77/6,,246,גוש עציון 77/06,246
0A3,1807,U246,247,נילי 05/10,247,נילי 5/10,247,נילי  44474,בגז נילי 12/10,247,נילי 05/10,247
0A4,1711,U247,248,נילי 05/14,248,נילי 5/14,248,נילי 5/14,,248,נילי 05/14,248
0A5,1715,U248,249,נילי 05/01,249,נילי 5/1,249,נילי  44201,,249,נילי 05/01,249
0A6,1701,U249,250,רוטנברג 06/06,250+251,רוטנברג 6/6,250,רוטנברג 44322,רוטנברג 12/5 בגז ,250,רוטנברג 06/06,250
0A7,1405,U250,251,רוטנברג 06/05,,,251,רוטנברג 44322,רוטנברג 12/5 בגז ,251,רוטנברג 06/05,251
0A8,145A,U251,252,גוש עציון  99/03,252+253,גוש עציון97 3+16,252,גוש עציון  97/15,גוש עציון 99/16 בחשמל ,252,גוש עציון  99/03,252
0A9,1903,U252,253,גוש עציון  97/16,,,253,גוש עציון  97/15,גוש עציון 99/16 בחשמל ,253,גוש עציון  97/16,253
0AA,1916,U253,254,השלום 133/29,254,השלום 135/29,254,השלום 133/29,,254,השלום 133/29,254
0AB,2129,U254,255,גוש עציון 87/06,255,גוש עציון 87/6,255,גוש עציון 87/6,,255,גוש עציון 87/06,255
0AC,1837,U255,256,רוטנברג 18/07,256,רוטנברג 18/7,256,רוטנברג 44760,"רוטנברג 18/7 במים
רוטנברג 18/35 בגז ובחשמל
רוטנברג 18/7 בארנונה",256,רוטנברג 18/07,256
0AD,435,U256,257,בן גוריון 16/08,257,בן גוריון 16/8,257,בן גוריון 44789,,257,בן גוריון 16/08,257
0AE,1308,U257,258,גוש עציון 93/53,258,גוש עציון 93/53,258,גוש עציון  93/53,במים ובארנונה: גוש עציון 93/5,258,גוש עציון 93/53,258
0AF,1854,U258,259,גוש עציון 93/54,259,גוש עציון 93/54,259,גוש עציון  93/54,במים ובארנונה : גוש עציון 93/6,259,גוש עציון 93/54,259
0B0,1855,U259,260,השלום 135/14,260,השלום 135/14,260,השלום 135/14,,260,השלום 135/14,260
0B1,2115,U260,,,300,נילי 1,, ,,, ,
0B2,1301,U400,,,,,, ,,, ,
0B3,1302,U401,,,,,, ,,, ,
0B4,1303,U402,,,,,, ,,, ,
0B5,1305,U403,,,,,, ,,, ,
0B6,1306,U404,,,,,, ,,, ,
0B7,1307,U405,,,,,, ,,, ,
0B8,,,,,,,, ,,, ,
0B9,1310,U407,,,,,, ,,, ,
0BA,1311,U408,,,,,, ,,, ,
0BB,1312,U409,,,,,, ,,, ,
0BC,1313,U410,,,,,, ,,, ,
0BD,1314,U411,,,,,, ,,, ,
0BE,1315,U412,,,,,, ,,, ,
0BF,1316,U413,,,,,, ,,, ,
0C0,1317,U414,,,,,, ,,, ,
0C1,1318,U415,,,,,, ,,, ,
0C2,1319,U416,,,,,, ,,, ,
0C3,1320,U417,,,,,, ,,, ,
0C4,1321,U418,,,,,, ,,, ,
0C5,1322,U419,,,,,, ,,, ,
0C6,1323,U420,,,,,, ,,, ,
0C7,1324,U421,,,,,, ,,, ,
0C8,1325,U422,,,,,, ,,, ,
0C9,1326,U423,,,,,, ,,, ,
0CA,1328,U424,,,,,,,,,,
0CB,1329,U425,,,,,,,,,,
0CC,1331,U426,,,,,,,,,,
0CD,1333,U427,,,,,,,,,,
0CE,1334,U428,,,,,,,,,,
0CF,1335,U429,,,,,,,,,,
0D0,1336,U430,,,,,,,,,,
0D1,1337,U431,,,,,,,,,,
0D2,1338,U432,,,,,,,,,,
0D3,1339,U433,,,,,,,,,,
